NIR;T2-13;13-juil;13-oct;14-janv;14-avr;14-juil;14-oct;15-janv;15-avr;15-juil;15-oct;16-janv;16-avr;16-juil;16-oct;Orientation;CLI;EPCI;DELEGATION;zonage_3;Sexe Individu;age;Situation_familiale;Enfants_a_charge;Type_logement;QP;MDPH;Nb_enfants_charge_sens_PF
273;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;PAYS DE RETZ;CC SUD RETZ ATLANTIQUE;DELEGATION PAYS DE RETZ;Espace rural;Masculin;60;Personne seule;Non;Hébergement;Non;Non;
274;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;60;Personne seule;Non;Autre situation;Non;Non;0
275;Pas de contrat;Pas de contrat;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;CHATEAUBRIANT;CC ERDRE ET GESVRES;DELEGATION CHATEAUBRIANT;Espace rural;Masculin;60;Personne seule;Non;Autre situation;Non;Non;0
276;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;60;Personne seule;Non;Logement social;Oui;Oui;0
277;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;59;Personne seule;Non;Logement social;Oui;Non;0
278;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Littorale;Masculin;59;Couple;Non;Autre situation;Non;Non;0
279;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;58;Personne seule;Non;Hébergement;Non;Oui;
280;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Contrat d’insertion;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;Non renseigne;;;;;;; ; ;Autre situation;;;
281;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;58;Personne seule;Non;Autre situation;Oui;Non;0
282;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;58;Personne seule;Non;Logement privé;Non;Non;0
283;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Contrat d’insertion;Social;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;58;Personne seule;Non;Autre situation;Non;Oui;0
284;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;;;;Littorale;Masculin;58;Personne seule;Non;Autre situation;Non;Oui;0
285;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;58;Personne seule;Non;Hébergement;Non;Non;0
286;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Non renseigne;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Littorale;Masculin;58;Personne seule;Non;Logement privé;Non;Non;0
287;PPAE;PPAE;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;57;Personne seule;Non;Autre situation;Non;Non;1
288;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;;;;;Masculin;57;Couple;Oui;Autre situation;Non;Oui;1
289;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;57;Couple;Oui;Logement social;Non;Non;1
290;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;56;Personne seule;Non;Logement social;Non;Oui;0
291;PPAE;Pas de contrat;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;VIGNOBLE NANTAIS;CC SEVRE ET LOIRE;DELEGATION VIGNOBLE;Espace rural;Masculin;56;Personne seule;Non;Autre situation;Non;Non;0
292;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;56;Personne seule;Oui;Logement social;Oui;Non;
293;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;56;Personne seule;Non;Logement social;Oui;Oui;
294;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat d’insertion;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;CHATEAUBRIANT;CC DU PAYS DE REDON;DELEGATION CHATEAUBRIANT;Espace rural;Masculin;56;Personne seule;Non;Propriétaire ou accédant;Non;Non;0
295;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;56;Personne seule;Non;Logement social;Oui;Oui;0
296;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;55;Personne seule;Non;Logement social;Non;Non;0
297;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Masculin;55;Personne seule;Non;Propriétaire ou accédant;Non;Oui;0
298;Pas de contrat;Pas de contrat;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;55;Personne seule;Non;Logement privé;Non;Non;0
299;PPAE;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Contrat aidé;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;55;Personne seule;Non;Logement privé;Non;Non;0
300;Pas de contrat;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;55;Couple;Oui;Logement social;Oui;Non;
301;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;PONTCHATEAU;CC DU PAYS DE PONTCHATEAU - SAINT GILDAS DES BOIS;DELEGATION SAINT NAZAIRE;Espace rural;Masculin;55;Personne seule;Non;Autre situation;Non;Non;0
302;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;Pas de contrat;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;55;Personne seule;Non;Autre situation;Non;Non;0
303;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Droit clos refusé ou en attente;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;55;Personne seule;Non;Logement social;Oui;Oui;0
304;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Contrat d’insertion;Social;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;54;Personne seule;Non;Logement social;Oui;Non;0
305;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Masculin;54;Personne seule;Non;Autre situation;Non;Oui;0
306;PPAE;PPAE;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;54;Personne seule;Non;Logement social;Non;Oui;0
307;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Non renseigne;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;54;Couple;Non;Autre situation;Non;Non;0
308;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;54;Personne seule;Non;Logement social;Oui;Non;0
309;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Espace rural;Masculin;53;Personne seule;Non;Autre situation;Non;Non;0
310;Pas de contrat;PPAE;Pas de contrat;Pas de contrat;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;53;Personne seule;Non;Autre situation;Oui;Non;
311;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;PAYS D'ANCENIS;;;Espace rural;Masculin;53; ; ;Autre situation;Non;Non;
312;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;PAYS D'ANCENIS;CC DU PAYS D'ANCENIS;DELEGATION ANCENIS;Espace rural;Masculin;53; ; ;Autre situation;Non;Non;
313;Pas de contrat;Contrat d’insertion;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;53;Personne seule;Non;Logement social;Non;Non;0
314;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;53;Personne seule;Non;Logement privé;Non;Oui;
315;PPAE;PPAE;PPAE;PPAE;Contrat d’insertion;Pas de contrat;Contrat aidé;Pas de contrat;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Masculin;53;Personne seule;Non;Autre situation;Non;Non;0
316;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;PAYS DE RETZ;CC SUD ESTUAIRE;DELEGATION PAYS DE RETZ;Littorale;Masculin;53;Personne seule;Non;Logement social;Non;Non;0
317;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;Contrat aidé;Contrat aidé;Pas de contrat;Contrat aidé;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;;;;;Masculin;53;Personne seule;Non;Autre situation;Non;Non;0
318;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;PAYS DE RETZ;CA PORNIC AGGLO PAYS DE RETZ;DELEGATION PAYS DE RETZ;Littorale;Masculin;52;Couple;Non;Logement privé;Non;Oui;
319;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Masculin;52;Personne seule;Non;Autre situation;Oui;Non;0
320;Pas de contrat;Pas de contrat;Contrat d’insertion;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Masculin;52;Personne seule;Non;Logement social;Oui;Oui;
321;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;52;Personne seule;Non;Autre situation;Non;Non;0
322;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat aidé;Contrat aidé;Droit clos refusé ou en attente;Non renseigne;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;52;Personne seule;Non;Logement social;Oui;Non;
323;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;52;Personne seule;Non;Autre situation;Non;Non;
324;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;52;Couple;Non;Logement privé;Non;Oui;0
325;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Social;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;51;Personne seule;Non;Autre situation;Non;Oui;0
326;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;51;Personne seule;Non;Autre situation;Non;Non;0
327;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;PPAE;PPAE;PPAE;Droit clos refusé ou en attente;PPAE;PPAE;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Masculin;51;Personne seule;Non;Logement social;Oui;Non;
328;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Contrat d’insertion;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Masculin;51;Personne seule;Non;Logement privé;Non;Oui;0
329;PPAE;PPAE;PPAE;Pas de contrat;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Masculin;51;Personne seule;Non;Logement privé;Non;Non;
330;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Social;VIGNOBLE NANTAIS;CC SEVRE ET LOIRE;DELEGATION VIGNOBLE;Espace rural;Masculin;51;Personne seule;Oui;Logement privé;Non;Oui;2
331;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;50;Personne seule;Non;Autre situation;Non;Non;
332;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;50; ; ;Autre situation;Non;Non;
333;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Droit clos refusé ou en attente;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;VIGNOBLE NANTAIS;CA CLISSON SEVRE MAINE AGGLO;DELEGATION VIGNOBLE;Espace rural;Masculin;50;Personne seule;Non;Logement social;Non;Non;0
334;PPAE;PPAE;PPAE;PPAE;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;PPAE;PPAE;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;50;Personne seule;Non;Logement privé;Non;Non;0
335;PPAE;PPAE;PPAE;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Littorale;Masculin;50;Couple;Oui;Propriétaire ou accédant;Non;Non;
